Description,Data.Protein,Data.Vitamins.Vitamin C,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Fat.Total Lipid,Data.Sugar Total,Data.Major Minerals.Sodium,Category
"Chillies, green-1",2.62,79.5,24.1,1.46,0.73,0.71,3.32,Chillies
"Chillies, green-2",2.28,90.97,16.86,1.24,0.75,1.05,2.47,Chillies
"Chillies, green-3",2.38,93.63,18.04,1.25,0.75,0.54,2.56,Chillies
"Chillies, green-4",2.33,102.0,15.87,1.08,0.74,0.62,1.94,Chillies
"Chillies, green-5",2.01,97.77,15.31,0.93,0.65,0.46,2.19,Chillies
"Chillies, green-6",3.01,108.0,24.82,0.75,0.64,0.59,2.43,Chillies
"Chillies, green-7",2.12,112.0,16.85,1.23,0.6,0.73,2.0,Chillies
"Chillies, green - all varieties",2.36,94.07,18.45,1.2,0.72,0.67,2.5,Chillies
Coriander leaves,3.52,23.87,146.0,5.3,0.7,0.17,37.0,Coriander leaves
Curry leaves,7.41,6.04,659.0,8.67,1.06,0.6,18.66,Curry leaves
"Garlic, big clove",6.92,12.62,20.08,1.05,0.16,5.97,9.42,Garlic
"Garlic, small clove",6.75,13.57,17.63,0.88,0.14,4.84,10.56,Garlic
"Garlic, single clove, Kashmir",6.12,15.38,19.0,1.01,0.16,3.73,8.87,Garlic
"Ginger, fresh",2.22,5.43,18.88,1.9,0.85,1.31,10.03,Ginger
Mango ginger,1.45,1.62,13.74,2.31,0.7,2.42,5.51,Mango ginger
Mint leaves,4.66,17.16,205.0,8.56,0.65,0.08,16.87,Mint leaves
"Onion, big",1.5,6.69,21.03,0.43,0.24,5.88,5.5,Onion
"Onion, small",1.82,10.96,19.92,0.53,0.16,5.62,4.06,Onion
Asafoetida,6.34,0.0,266.0,15.68,1.26,0.93,16.04,Asafoetida
"Cardamom, green",8.1,0.0,378.0,8.33,2.6,4.28,15.51,Cardamom
"Cardamom, black",6.69,0.0,312.0,7.94,2.8,2.3,16.25,Cardamom
"Chillies, red",12.69,0.0,99.83,6.23,6.4,4.7,19.45,Chillies
Cloves,5.86,0.0,567.0,9.41,8.41,2.1,183.0,Cloves
Coriander seeds,10.66,0.0,718.0,17.64,17.47,2.38,34.41,Coriander seeds
Cumin seeds,13.91,0.0,878.0,20.58,16.64,1.38,125.0,Cumin seeds
Fenugreek seeds,25.41,0.0,135.0,8.47,5.72,0.55,40.2,Fenugreek seeds
Mace,6.24,0.0,174.0,22.69,24.41,0.85,27.17,Mace
Nutmeg,6.3,0.0,148.0,2.33,36.52,1.08,14.31,Nutmeg
Omum,15.89,0.0,1034.0,13.65,21.11,2.76,28.58,Omum
Pippali,10.53,0.0,414.0,7.99,2.27,2.75,16.28,Pippali
"Pepper, black",10.12,0.0,405.0,11.91,2.74,0.32,24.08,Pepper
Poppy seeds,20.31,0.0,1372.0,10.13,30.38,1.85,25.35,Poppy seeds
Turmeric powder,7.66,0.0,122.0,46.08,5.03,1.23,24.41,Turmeric powder
Almond,18.41,0.74,228.0,4.59,58.49,2.23,1.5,Almond
"Arecanut, dried, brown",5.78,0.0,61.0,2.74,4.35,1.76,12.06,Arecanut
"Arecanut, dried, red color",6.46,0.0,51.0,3.26,4.46,1.79,17.13,Arecanut
"Arecanut, fresh",2.73,0.0,34.03,1.04,5.51,4.72,5.53,Arecanut
Cashew nut,18.78,0.0,34.0,5.95,45.2,3.11,9.0,Cashew nut
